cluster,cpufreq,ddrfreq,w1,w2,w3,bias
1,1171200,681,0.000847347,0.051937483,0,952.3335237
1,1171200,768,0.000836456,0.046547202,0,794.3628282
1,1171200,1017,0.000802306,0.037501015,0,833.6462902
1,1171200,1353,0.000694504,0.035637861,0,1000.824127
1,1171200,1555,0.000657409,0.01433811,0.014985216,101.5048325
1,1171200,1804,0.000801641,0.019783273,0,980.6918178
1,1171200,2092,0.000800765,0.016366713,0,1452.036698
1,1286400,200,0,0,0,0
1,1286400,300,0.001037234,0.063988583,0.017874729,1335.064262
1,1286400,451,0.00077556,0.035946109,0.018818618,341.3480058
1,1286400,547,0.00063623,0.035750989,0.019936811,173.6988137
1,1286400,681,0.000568588,0.032025171,0.021706482,39.53565924
1,1286400,768,0.000792084,0.043816703,0,851.3296738
1,1286400,1017,0.00054301,0.026186783,0.01587927,24.58396766
1,1286400,1353,0.000530199,0.020632003,0.015039547,50.77539754
1,1286400,1555,0.000595861,0.014506007,0.013373195,409.2691399
1,1286400,1804,0.000549492,0.01078461,0.013691691,347.7034322
1,1286400,2092,0.000479542,0.0144098,0.012993972,418.01445
1,1401600,200,0,0,0,0
1,1401600,300,0.000891682,0.072939508,0.016232492,1055.693642
1,1401600,451,0.000755245,0.034635895,0.018296025,381.3063675
1,1401600,547,0.000565119,0.038307105,0.018196214,399.9569132
1,1401600,681,0.000707506,0.05305247,0,777.195873
1,1401600,768,0.000745193,0.042808299,0,840.4566982
1,1401600,1017,0.00049019,0.026450998,0.014815987,139.6066934
1,1401600,1353,0.000486864,0.021181069,0.013661412,167.8172952
1,1401600,1555,0.000538106,0.015007885,0.012337609,606.8206906
1,1401600,1804,0.000499671,0.011258009,0.012575941,489.1190329
1,1401600,2092,0.000449134,0.012958497,0.012204187,645.5803092
1,1497600,200,0,0,0,0
1,1497600,300,0.000857085,0.06675596,0.01826482,1237.08499
1,1497600,451,0.000694181,0.035423859,0.018444606,375.696411
1,1497600,547,0.000503445,0.03708634,0.01984588,271.3697718
1,1497600,681,0.000551233,0.03592391,0.015630945,43.99387043
1,1497600,768,0.000529533,0.030749015,0.015663869,33.86429074
1,1497600,1017,0.000480646,0.026303283,0.013652506,185.523196
1,1497600,1353,0.00044907,0.020443629,0.013153411,384.1598078
1,1497600,1555,0.000490361,0.016045279,0.011225387,772.6047296
1,1497600,1804,0.000466613,0.011161084,0.011589943,716.5544489
1,1497600,2092,0.000403007,0.013537383,0.011659128,754.6986251
1,1612800,200,0,0,0,0
1,1612800,300,0.00078047,0.074490444,0.013849132,1650.219006
1,1612800,451,0.000641632,0.036048945,0.018323141,398.4267698
1,1612800,547,0.000458525,0.03796755,0.019261531,211.4896745
1,1612800,681,0.000513532,0.035931964,0.015082429,98.38397014
1,1612800,768,0.000508112,0.030544991,0.014615594,138.9434555
1,1612800,1017,0.000465829,0.02447821,0.0132105,291.7965695
1,1612800,1353,0.000421493,0.019968089,0.012150882,583.6448033
1,1612800,1555,0.000466637,0.015366361,0.010721104,826.3545079
1,1612800,1804,0.000409175,0.012310256,0.010750882,898.8569324
1,1612800,2092,0.000360521,0.013251993,0.011135295,957.2047004
1,1708800,200,0,0,0,0
1,1708800,300,0.00084732,0.072831098,0.012338143,1441.851415
